"id","partName","partDescription","partCode","partMake","partModel","partLastPrice","partAccount","partChargeDepartment","partNotes","partBarcode","partInventoryCode","partCategory_id"
"146","تبدیل نمره ۲ * ۴ گالوانیزه ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"147","تبدیل نمره ۲ * ۴ مانیسمان ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"148","تبدیل نمره ۲ * ۵ گالوانیزه ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"149","تبدیل نمره . ۲ * ۵ مانیسمان ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"150","تبدیل نمره ۲ * ۶ جوشی ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"151","تبدیل نمره ۲ * ۶ گالوانیزه ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"152","تبدیل نمره ۲ * ۶ مانیسمان ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"153","تبدیل نمره ۵ / ۲ * ۳ گالوانیزه ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"154","تبدیل نمره ۵ / ۲ * ۳ مانیسمان ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"155","تبدیل نمره ۵ / ۲ * ۴ جوشی ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"156","تبدیل نمره ۵ / ۲ * ۴ مانیسمان ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"157","تبدیل نمره ۵ / ۲ * ۵ گالوانیزه ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"158","تبدیل نمره ۵ / ۲ * ۵ مانیسمان ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"159","تبدیل نمره ۵ / ۲ * ۶ جوشی ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"160","تبدیل نمره ۵ / ۲ * ۶ گالوانیزه ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"161","تبدیل نمره ۵ / ۲ * ۶ مانیسمان ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"162","تبدیل نمره ۲۰ * ۲۵ مانیسمان ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"163","تبدیل نمره ۳ * ۴ گالوانیزه ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"164","تبدیل نمره ۳ * ۴ مانیسمان ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"165","تبدیل نمره ۳ * ۵ گالوانیزه ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"166","تبدیل نمره ۶۳ گالوانیزه ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"167","تبدیل نمره ۶۳ وحید ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"168","تبدیل نمره ۳ * ۷ مانیسمان ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"169","تبدیل نمره ۴ * ۵ جوشی ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"170","تبدیل نمره ۴ * ۵ گالوانیزه ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"171","تبدیل نمره ۴ * ۵ مانیسمان ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"172","تبدیل نمره ۴ * ۶ گالوانیزه ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"173","تبدیل نمره ۵ * ۶ گالوانیزه ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"174","تبدیل نمره ۶ * ۱۰ پلیکا ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"175","تبدیل نمره ۶ * ۱۲ پلیکا ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"176","تبدیل نمره ۶ * ۷ گالوانیزه ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"177","تبدیل نمره ۶ * ۸ پلیکا ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"178","تبدیل نمره ۷ * ۸ جوشی ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"179","تبدیل نمره ۱۲۸ پلیکا ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"180","ترانس ۲۰ وات ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"181","ترانس ۲۵۰ وات ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"182","ترانس ۷۰ وات ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"183","ترانس بالاست ۳۶ * ۲ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"184","ترموستات جداری ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"185","ترموستات دیجیتالی ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"186","ترموستات فن کویل ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"187","ترموستات قلافی ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"188","ترموستات لمسی ۹۵ - ۵۰ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"189","ترموستات ویترینی یخچال ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"190","ترموستات یخچال ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"191","ترموکوبل آبگرمکن ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"192","ترموکوبل اجاق گاز ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"193","ترمینال با جعبه ۱۰ زوج ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"194","ترمینال خانه ای نمره ۱۶ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"195","ترمینال خانه ای نمره ۲۵ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"196","ترمینال خانه ای نمره ۳۵ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"197","ترمینال خانه ای نمره ۶ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"198","ترمینال ریلی نمره ۳۵ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"199","ترمینال ریلی نمره ۷۵ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"200","ترمینال ریلی نمره ۹۵ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"201","کولر a تسمه نمره ۱۰۲ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"202","کولر b تسمه نمره ۴۶ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"203","کولر a۲۴ تسمه نمره ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"204","کولر a۲۹ تسمه نمره ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"205","کولر a۳۱ تسمه نمره ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
